Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-3.47228344066504E-18,4.86947285569104E-17,0.0598387302864992,0,0,0,0.219744023655981,0.000224264814079452,-1.60873704444494E-20,-4.40061735388592E-22,0.000224264814079452,-1.07287849901648E-20,0.00044509213804625,0,0,0,0,0,0,"package://ASY, ROBOTIC ARM, 2026, URDF/meshes/base_link.STL",0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,"package://ASY, ROBOTIC ARM, 2026, URDF/meshes/base_link.STL",,"BASE MOUNT, ROBOTIC ARM 2024-1",Origin_Link1,,Link1,fixed,0,0,0.0643,3.1416,0,-1.5708,base_link,0,0,0,,,,,,,,,,,,
Link1.5,-0.00137045819153649,0.000243205923260911,0.00908179430343051,0,0,0,2.04153344279071,0.00185141024448053,-2.24326067005647E-05,-7.46688369056669E-05,0.00180221293594771,6.5432528624706E-05,0.00165845300699879,0,0,0,0,0,0,"package://ASY, ROBOTIC ARM, 2026, URDF/meshes/Link1.5.STL",0.529411764705882,0.549019607843137,0.549019607843137,1,0,0,0,0,0,0,"package://ASY, ROBOTIC ARM, 2026, URDF/meshes/Link1.5.STL",,"M4230-1;J1 MOUNT, ROBOTIC ARM 2024-1",Origin_Link1,,Link1,fixed,0,0,0,0,0,0,base_link,0,0,0,0,0,0,0,,,,,,,,
Link2,0.119984962807491,0.00196698564974415,-0.0807668134071398,0,0,0,1.19593165380782,0.00413067759750746,-0.00261165764365988,0.00337440243144047,0.00826955163319396,0.00183171701294834,0.00736497664966822,0,0,0,0,0,0,"package://ASY, ROBOTIC ARM, 2026, URDF/meshes/Link2.STL",0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,"package://ASY, ROBOTIC ARM, 2026, URDF/meshes/Link2.STL",,"SHOULDER MOTOR ADAPTER, ROBOTICS ARM 2026-1;New Arm V10-2;AK60-39 V3.0 KV80-1;AK60-39 V3.0 KV80-2",Origin_Link2,Axis_Link2,Link2,continuous,-0.00025883,0.04747,-0.0132,1.5708,1.5284,0.0054525,Link1.5,0,0,1,,,,,,,,,,,,
Link3,-0.0379710474432482,-0.0198862697913886,0.138377079151387,0,0,0,1.19091866800207,0.000540586458062107,-3.86176457173228E-06,-1.13312709144839E-05,0.000534522975621574,2.0693004575048E-05,0.000624629356506218,0,0,0,0,0,0,"package://ASY, ROBOTIC ARM, 2026, URDF/meshes/Link3.STL",0.909803921568627,0.443137254901961,0.0313725490196078,1,0,0,0,0,0,0,"package://ASY, ROBOTIC ARM, 2026, URDF/meshes/Link3.STL",,"WRIST ROLL MOTOR MOUNT, ROBOTIC ARM 2024-1;M4210-2",Origin_Link3,Axis_Link3,Link3,continuous,0.27765,0.1603,0,-3.1416,0,1.5284,Link2,0,0,1,,,,,,,,,,,,
Link4,-0.358695030970577,0.0976039561893992,0.0227609312659723,0,0,0,1.17148593710724,0.000425747227263761,4.48370410909855E-05,4.81477054638228E-05,0.000492663024963805,-3.45702243208819E-05,0.000492239085997097,0,0,0,0,0,0,"package://ASY, ROBOTIC ARM, 2026, URDF/meshes/Link4.STL",1,1,1,1,0,0,0,0,0,0,"package://ASY, ROBOTIC ARM, 2026, URDF/meshes/Link4.STL",,"CARBON FIBER TUBE, ROBOTIC ARM 2024-2;FOREARM MOUNT, ROBOTIC ARM 2024-1;J5 MOUNT, ROBOTIC ARM 2024-1;M4210-1",Origin_Link4,Axis_Link4,Link4,continuous,0.053502,0,-0.035471,3.1416,1.5708,3.1416,Link3,0,0,1,,,,,,,,,,,,
Link5,0.0876527737114546,0.360268047298371,0.193345370773225,0,0,0,1.07420203734998,0.000367092742060492,7.08073347737635E-06,7.62906743613573E-06,0.000406016294979546,-1.55404397556042E-06,0.000382179593918468,0,0,0,0,0,0,"package://ASY, ROBOTIC ARM, 2026, URDF/meshes/Link5.STL",0.529411764705882,0.549019607843137,0.549019607843137,1,0,0,0,0,0,0,"package://ASY, ROBOTIC ARM, 2026, URDF/meshes/Link5.STL",,"M4210-3;J6 MOUNT, ROBOTIC ARM 2024-1",Origin_Link5,,Link5,fixed,0,0,0.2615,-3.1416,0,-1.9635,Link4,0,0,0,0,0,0,0,,,,,,,,
End_effector,-0.296004083488572,0.0573662511705206,0.489657740787579,0,0,0,0.542794300765224,0.000345054803083106,-1.50014906300123E-06,-5.02252398562351E-05,0.000401560086034988,-4.77187672077572E-06,0.000196546909880828,0,0,0,0,0,0,"package://ASY, ROBOTIC ARM, 2026, URDF/meshes/End_effector.STL",0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,"package://ASY, ROBOTIC ARM, 2026, URDF/meshes/End_effector.STL",,"ASY, GRIPPER, ROBOTIC ARM, 2024-1/GRIPPER BODY-1;ASY, GRIPPER, ROBOTIC ARM, 2024-1/693ZZ BEARING-8;ASY, GRIPPER, ROBOTIC ARM, 2024-1/693ZZ BEARING-2;ASY, GRIPPER, ROBOTIC ARM, 2024-1/693ZZ BEARING-6;ASY, GRIPPER, ROBOTIC ARM, 2024-1/693ZZ BEARING-3;ASY, GRIPPER, ROBOTIC ARM, 2024-1/693ZZ BEARING-5;ASY, GRIPPER, ROBOTIC ARM, 2024-1/SMALL FINGER, RIGHT, GRIPPER-1;ASY, GRIPPER, ROBOTIC ARM, 2024-1/RUBBER PAD, GRIPPER-1;ASY, GRIPPER, ROBOTIC ARM, 2024-1/FINGER LINK, GRIPPER-2;ASY, GRIPPER, ROBOTIC ARM, 2024-1/FINGER LINK, GRIPPER-1;ASY, GRIPPER, ROBOTIC ARM, 2024-1/SMALL FINGER, LEFT, GRIPPER-1;ASY, GRIPPER, ROBOTIC ARM, 2024-1/91290A120_Alloy Steel Socket Head Screw-4;ASY, GRIPPER, ROBOTIC ARM, 2024-1/91290A123_Alloy Steel Socket Head Screw-8;ASY, GRIPPER, ROBOTIC ARM, 2024-1/91290A123_Alloy Steel Socket Head Screw-6;ASY, GRIPPER, ROBOTIC ARM, 2024-1/90592A009_Steel Hex Nut-25;ASY, GRIPPER, ROBOTIC ARM, 2024-1/90592A009_Steel Hex Nut-15;ASY, GRIPPER, ROBOTIC ARM, 2024-1/ASY, LINEAR ACTUATOR-1/PISTON, LINEAR ACTUATOR, GRIPPER-1;ASY, GRIPPER, ROBOTIC ARM, 2024-1/91290A136_Alloy Steel Socket Head Screw-6;ASY, GRIPPER, ROBOTIC ARM, 2024-1/SLIDER LINK, GRIPPER-1;ASY, GRIPPER, ROBOTIC ARM, 2024-1/90592A009_Steel Hex Nut-27;ASY, GRIPPER, ROBOTIC ARM, 2024-1/R2 LINK, GRIPPER-3;ASY, GRIPPER, ROBOTIC ARM, 2024-1/91290A079_Alloy Steel Socket Head Screw-4;ASY, GRIPPER, ROBOTIC ARM, 2024-1/91290A079_Alloy Steel Socket Head Screw-3;ASY, GRIPPER, ROBOTIC ARM, 2024-1/91290A125_Black-Oxide Alloy Steel Socket Head Screw M3 x 25-1;ASY, GRIPPER, ROBOTIC ARM, 2024-1/90592A009_Steel Hex Nut-1;ASY, GRIPPER, ROBOTIC ARM, 2024-1/693ZZ BEARING-22;ASY, GRIPPER, ROBOTIC ARM, 2024-1/R1 LINK, GRIPPER-7;ASY, GRIPPER, ROBOTIC ARM, 2024-1/90592A009_Steel Hex Nut-8;ASY, GRIPPER, ROBOTIC ARM, 2024-1/693ZZ BEARING-9;ASY, GRIPPER, ROBOTIC ARM, 2024-1/90592A009_Steel Hex Nut-2;ASY, GRIPPER, ROBOTIC ARM, 2024-1/90592A009_Steel Hex Nut-6;ASY, GRIPPER, ROBOTIC ARM, 2024-1/90592A009_Steel Hex Nut-4;ASY, GRIPPER, ROBOTIC ARM, 2024-1/90592A009_Steel Hex Nut-23;ASY, GRIPPER, ROBOTIC ARM, 2024-1/91290A135_Alloy Steel Socket Head Screw-1;ASY, GRIPPER, ROBOTIC ARM, 2024-1/91290A079_Alloy Steel Socket Head Screw-1;ASY, GRIPPER, ROBOTIC ARM, 2024-1/RUBBER PAD, GRIPPER-3;ASY, GRIPPER, ROBOTIC ARM, 2024-1/90592A009_Steel Hex Nut-30;ASY, GRIPPER, ROBOTIC ARM, 2024-1/90592A009_Steel Hex Nut-29;ASY, GRIPPER, ROBOTIC ARM, 2024-1/91290A123_Alloy Steel Socket Head Screw-11;ASY, GRIPPER, ROBOTIC ARM, 2024-1/91290A123_Alloy Steel Socket Head Screw-10;ASY, GRIPPER, ROBOTIC ARM, 2024-1/91290A079_Alloy Steel Socket Head Screw-6;ASY, GRIPPER, ROBOTIC ARM, 2024-1/693ZZ BEARING-23;ASY, GRIPPER, ROBOTIC ARM, 2024-1/693ZZ BEARING-20;ASY, GRIPPER, ROBOTIC ARM, 2024-1/693ZZ BEARING-18;ASY, GRIPPER, ROBOTIC ARM, 2024-1/91290A120_Alloy Steel Socket Head Screw-8;ASY, GRIPPER, ROBOTIC ARM, 2024-1/693ZZ BEARING-24;ASY, GRIPPER, ROBOTIC ARM, 2024-1/693ZZ BEARING-25;ASY, GRIPPER, ROBOTIC ARM, 2024-1/693ZZ BEARING-21;ASY, GRIPPER, ROBOTIC ARM, 2024-1/91290A136_Alloy Steel Socket Head Screw-7;ASY, GRIPPER, ROBOTIC ARM, 2024-1/91290A079_Alloy Steel Socket Head Screw-5;ASY, GRIPPER, ROBOTIC ARM, 2024-1/693ZZ BEARING-17;ASY, GRIPPER, ROBOTIC ARM, 2024-1/693ZZ BEARING-19;ASY, GRIPPER, ROBOTIC ARM, 2024-1/90592A009_Steel Hex Nut-14;ASY, GRIPPER, ROBOTIC ARM, 2024-1/91290A135_Alloy Steel Socket Head Screw-2;ASY, GRIPPER, ROBOTIC ARM, 2024-1/90592A009_Steel Hex Nut-11;ASY, GRIPPER, ROBOTIC ARM, 2024-1/91290A125_Black-Oxide Alloy Steel Socket Head Screw M3 x 25-4;ASY, GRIPPER, ROBOTIC ARM, 2024-1/R2 LINK, GRIPPER-6;ASY, GRIPPER, ROBOTIC ARM, 2024-1/91290A079_Alloy Steel Socket Head Screw-2;ASY, GRIPPER, ROBOTIC ARM, 2024-1/90592A009_Steel Hex Nut-12;ASY, GRIPPER, ROBOTIC ARM, 2024-1/90592A009_Steel Hex Nut-10;ASY, GRIPPER, ROBOTIC ARM, 2024-1/R2 LINK, GRIPPER-5;ASY, GRIPPER, ROBOTIC ARM, 2024-1/693ZZ BEARING-14;ASY, GRIPPER, ROBOTIC ARM, 2024-1/693ZZ BEARING-16;ASY, GRIPPER, ROBOTIC ARM, 2024-1/90592A009_Steel Hex Nut-13;ASY, GRIPPER, ROBOTIC ARM, 2024-1/693ZZ BEARING-13;ASY, GRIPPER, ROBOTIC ARM, 2024-1/693ZZ BEARING-11;ASY, GRIPPER, ROBOTIC ARM, 2024-1/693ZZ BEARING-12;ASY, GRIPPER, ROBOTIC ARM, 2024-1/693ZZ BEARING-10;ASY, GRIPPER, ROBOTIC ARM, 2024-1/R1 LINK, GRIPPER-4;ASY, GRIPPER, ROBOTIC ARM, 2024-1/R2 LINK, GRIPPER-4;ASY, GRIPPER, ROBOTIC ARM, 2024-1/91290A120_Alloy Steel Socket Head Screw-6;ASY, GRIPPER, ROBOTIC ARM, 2024-1/91290A120_Alloy Steel Socket Head Screw-7;ASY, GRIPPER, ROBOTIC ARM, 2024-1/ASY, LINEAR ACTUATOR-1/HOUSING, LINEAR ACTUATOR, GRIPPER-1;ASY, GRIPPER, ROBOTIC ARM, 2024-1/91290A120_Alloy Steel Socket Head Screw-1;ASY, GRIPPER, ROBOTIC ARM, 2024-1/91290A120_Alloy Steel Socket Head Screw-2",Origin_End_effector,,End_effector,fixed,0,0,-0.1405,0.53499,1.5708,1.7134,Link5,0,0,0,,,,,,,,,,,,
